Test ID,Nhóm,Test Name,Purpose,Pre-condition,Test Equipment,Test Procedure,Acceptance Criteria,Expected result,Th?i gian,Giá tr? ?o th?c t?,Pass/Fail,Evidence / Log,Executed By,Executed Date,Severity khi Fail
ST-MEM-001,RAM/Memory Stress,RAM 50% Load,Ki?m tra robot có ho?t ??ng ?n ??nh khi kho?ng m?t n?a RAM ???c s? d?ng.,Robot kh?i ??ng bình th??ng; pin ?50%; ??t robot ? khu v?c an toàn; E-stop ho?t ??ng; không có l?i Critical; ?ã b?t ghi log.,Robot; PC/SSH; stress-ng ho?c công c? t??ng ???ng; htop; công c? xem log.,"1. ??t robot ? tr?ng thái an toàn và ki?m tra E-stop.
2. K?t n?i PC v?i robot qua SSH.
3. M? `htop` và ghi RAM, swap, CPU tr??c khi test.
4. T?o memory load kho?ng 50% b?ng công c?.
5. Duy trì t?i 30 phút.
6. C? m?i 5 phút ghi RAM usage, swap usage và tr?ng thái ROS 2 node.
7. Ki?m tra robot v?n ph?n h?i các l?nh an toàn c? b?n.
8. D?ng công c? stress.
9. Ki?m tra system log và ghi l?i l?i n?u có.",RAM duy trì g?n m?c m?c tiêu; robot v?n ph?n h?i; không OOM ho?c t? reboot.,RAM trung bình kho?ng 45–55%; không kernel panic; không reboot/crash; không m?t ch?c n?ng quan tr?ng; không OOM ngoài k?ch b?n.,30 min,,,,,,Major
ST-MEM-002,RAM/Memory Stress,RAM 70% Load,Ki?m tra ?? ?n ??nh khi RAM ???c s? d?ng ? m?c cao kho?ng 70%.,Robot kh?i ??ng bình th??ng; pin ?50%; khu v?c an toàn; E-stop ho?t ??ng; không l?i Critical; logging b?t.,Robot; PC/SSH; stress-ng ho?c công c? t??ng ???ng; htop; log viewer.,"1. Ki?m tra robot và E-stop.
2. K?t n?i SSH và m? `htop`.
3. Ghi RAM/swap tr??c test.
4. T?o RAM load kho?ng 70%.
5. Duy trì 30–60 phút.
6. Ghi RAM, swap và tr?ng thái ROS 2 m?i 5 phút.
7. Ki?m tra robot v?n ph?n h?i l?nh.
8. D?ng stress tool và ki?m tra log.",H? th?ng v?n ho?t ??ng bình th??ng khi RAM ? m?c cao; không xu?t hi?n OOM.,RAM n?m kho?ng 65–75%; không kernel panic; không reboot/crash; không m?t ch?c n?ng quan tr?ng.,30–60 min,,,,,,Major
ST-MEM-003,RAM/Memory Stress,RAM 80% Load,Ki?m tra ?? ?n ??nh khi RAM s? d?ng kho?ng 80%.,Robot kh?i ??ng bình th??ng; pin ?50%; khu v?c an toàn; E-stop ho?t ??ng; không l?i Critical; logging b?t.,Robot; PC/SSH; stress-ng; htop; log viewer.,"1. Ki?m tra robot ? tr?ng thái an toàn.
2. M? `htop` và ghi thông s? ban ??u.
3. T?o RAM load kho?ng 80%.
4. Duy trì 30–60 phút.
5. M?i 5 phút ghi RAM, swap, CPU và tr?ng thái ROS 2.
6. Ki?m tra ?ng d?ng/ROS 2 node quan tr?ng.
7. D?ng stress và ki?m tra log.",Robot ti?p t?c ho?t ??ng; các node quan tr?ng không b? d?ng.,RAM kho?ng 75–85%; không OOM; không kernel panic/reboot; không critical node crash.,30–60 min,,,,,,Major
ST-MEM-004,RAM/Memory Stress,RAM 90% Load,Ki?m tra kh? n?ng ch?u t?i RAM r?t cao và kh? n?ng h? th?ng v?n ho?t ??ng.,Robot kh?i ??ng bình th??ng; pin ?50%; khu v?c an toàn; E-stop ho?t ??ng; không l?i Critical; logging b?t.,Robot; PC/SSH; stress-ng/memtester; htop; log viewer.,"1. ??t robot ? tr?ng thái an toàn.
2. Ghi RAM và swap ban ??u.
3. T?o RAM load kho?ng 90%.
4. Duy trì 30 phút.
5. Theo dõi RAM, swap, OOM và các ROS 2 node m?i 1–5 phút.
6. N?u có c?nh báo nghiêm tr?ng ho?c robot có d?u hi?u b?t th??ng, d?ng test ngay.
7. N?u test hoàn t?t, gi?m t?i và ki?m tra log.",H? th?ng ti?p t?c ho?t ??ng ho?c gi?m hi?u n?ng có ki?m soát; không x?y ra l?i ngoài d? ki?n.,RAM kho?ng 85–95%; không kernel panic; không reboot; không m?t ch?c n?ng quan tr?ng; hành vi khi thi?u RAM ?úng thi?t k?.,30 min,,,,,,Major
ST-MEM-005,RAM/Memory Stress,RAM 95% Load,Ki?m tra hành vi c?a h? th?ng khi RAM g?n ??y.,Robot kh?i ??ng bình th??ng; pin ?50%; khu v?c an toàn; E-stop ho?t ??ng; không l?i Critical; logging b?t; ?ã xác nh?n gi?i h?n an toàn c?a h? th?ng.,Robot; PC/SSH; stress-ng/memtester; htop; log viewer.,"1. Ki?m tra E-stop và tr?ng thái robot.
2. Ghi RAM, swap và process tr??c test.
3. T?ng RAM usage t? t? lên kho?ng 95%, không t?ng ??t ng?t.
4. Duy trì kho?ng 30 phút.
5. Theo dõi OOM, swap, process và ROS 2 node.
6. N?u robot treo, reboot ho?c xu?t hi?n l?i nghiêm tr?ng, ghi l?i và d?ng test.
7. Gi?m t?i và ki?m tra h? th?ng sau test.",H? th?ng x? lý tình tr?ng RAM g?n ??y theo c? ch? thi?t k?; không m?t ki?m soát.,Không kernel panic; không reboot ngoài d? ki?n; không m?t d? li?u nghiêm tr?ng; OOM n?u có ph?i ???c x? lý ?úng thi?t k?.,30 min,,,,,,Major
ST-MEM-006,RAM/Memory Stress,Memory Leak 8 gi?,Phát hi?n ch??ng trình ho?c node làm RAM t?ng liên t?c theo th?i gian.,Robot ho?t ??ng bình th??ng; workload c? ??nh ?ã ???c xác ??nh; pin/ngu?n ?? cho 8 gi?; logging b?t.,Robot; PC/SSH; script monitoring; htop; log collector; ??ng h? th?i gian.,"1. Kh?i ??ng robot và workload c? ??nh.
2. Ghi RAM, swap và process count t?i th?i ?i?m 0 gi?.
3. Ti?p t?c ghi t?i 1, 2, 4, 6 và 8 gi?.
4. Không thay ??i workload trong quá trình test n?u không c?n thi?t.
5. Ghi l?i m?i node/process restart.
6. Sau 8 gi? d?ng workload và ki?m tra log.
7. So sánh RAM ??u k?, gi?a k? và cu?i k?.",RAM có th? t?ng nh? trong giai ?o?n kh?i t?o nh?ng sau ?ó ?n ??nh; không t?ng liên t?c.,Không OOM; không critical node restart do thi?u RAM; xu h??ng RAM ?n ??nh sau khi workload ??t tr?ng thái steady-state.,8 h,,,,,,Major
ST-MEM-007,RAM/Memory Stress,Memory Leak 24 gi?,Xác nh?n kh? n?ng qu?n lý RAM trong th?i gian ho?t ??ng dài.,Robot ho?t ??ng bình th??ng; workload th?c t? ?ã xác ??nh; ngu?n/pin ?? 24 gi?; logging và monitoring ho?t ??ng.,Robot; PC/SSH; monitoring script; htop; log collector.,"1. Kh?i ??ng workload th?c t?.
2. Ghi RAM, swap, process count và tr?ng thái node t?i 0 gi?.
3. Ghi l?i các thông s? t?i 2, 4, 8, 12, 16, 20 và 24 gi?.
4. Ki?m tra log sau m?i m?c.
5. Ghi nh?n m?i process restart, OOM ho?c b?t th??ng.
6. Sau 24 gi? ki?m tra robot và so sánh RAM ??u-cu?i.",Robot duy trì workload; RAM không t?ng liên t?c ??n m?c gây l?i.,Không OOM; không reboot; không critical process crash do RAM; không có xu h??ng memory leak nghiêm tr?ng.,24 h,,,,,,Major
ST-MEM-008,RAM/Memory Stress,Swap / Low-memory Recovery,Ki?m tra robot x? lý và ph?c h?i nh? th? nào khi b? nh? kh? d?ng gi?m xu?ng th?p.,Robot ho?t ??ng bình th??ng; ?ã xác ??nh gi?i h?n an toàn; có kh? n?ng d?ng test nhanh; logging b?t.,Robot; PC/SSH; stress-ng/memtester; htop; log viewer.,"1. Ghi RAM và swap ban ??u.
2. T?ng memory usage t? t? ??n vùng th?p b? nh? ?ã ???c xác ??nh trong k? ho?ch test.
3. Quan sát swap usage, OOM message và tr?ng thái các process.
4. Không v??t gi?i h?n an toàn.
5. Sau khi ghi nh?n hành vi, d?ng memory stress.
6. Ki?m tra RAM và process có tr? l?i bình th??ng không.
7. Ki?m tra system log.",H? th?ng ph?n ?ng theo thi?t k? và tr? l?i tr?ng thái ?n ??nh sau khi gi?m t?i.,Không m?t d? li?u nghiêm tr?ng; không reboot ngoài d? ki?n; các process quan tr?ng ???c b?o v?/recovery ?úng thi?t k?.,30 min,,,,,,Major
ST-STO-001,Storage I/O Stress,Continuous Sequential Write,Ki?m tra SSD/eMMC có th? ghi d? li?u liên t?c trong th?i gian dài mà không b? l?i ho?c làm h? th?ng treo.,Robot kh?i ??ng bình th??ng; pin/ngu?n ?? 2 gi?; robot ? khu v?c an toàn; không có l?i Critical; ?ã b?t ghi log.,Robot; PC/SSH; SSD/eMMC; fio ho?c dd; smartctl; công c? xem log; công c? ?o nhi?t ??.,"1. ??t robot ? tr?ng thái an toàn và ki?m tra E-stop.
2. K?t n?i PC v?i robot qua SSH.
3. Ki?m tra dung l??ng tr?ng c?a SSD/eMMC và ghi l?i giá tr? ban ??u.
4. Ki?m tra nhi?t ?? storage và tình tr?ng health n?u công c? h? tr?.
5. Ch?y bài test ghi tu?n t? b?ng `fio` ho?c công c?.
6. Duy trì workload trong 2 gi?.
7. C? m?i 10 phút ghi t?c ?? ghi, nhi?t ?? và l?i I/O.
8. Sau khi ?? 2 gi?, d?ng workload ?úng cách.
9. Ki?m tra file test có t?n t?i và ??c l?i ???c.
10. Ki?m tra system log ?? tìm I/O error ho?c filesystem error.",T?c ?? ghi t??ng ??i ?n ??nh; h? th?ng v?n ph?n h?i; file ghi ???c ??c l?i bình th??ng; không xu?t hi?n l?i I/O nghiêm tr?ng.,Không có I/O error Critical; file test ??c l?i ???c; t?c ?? ghi ??t requirement c?a storage; không freeze/reboot ngoài d? ki?n.,2 h,,,,,,Major
ST-STO-002,Storage I/O Stress,Continuous Read/Write,Ki?m tra storage khi ??c và ghi d? li?u ??ng th?i trong th?i gian dài.,Robot kh?i ??ng bình th??ng; ngu?n ?? 2 gi?; storage có ?? dung l??ng; không l?i Critical; logging b?t.,Robot; PC/SSH; SSD/eMMC; fio; smartctl; log viewer; temperature monitor.,"1. Ki?m tra dung l??ng tr?ng và nhi?t ?? storage.
2. Ghi l?i t?c ?? ??c/ghi ? tr?ng thái bình th??ng.
3. C?u hình workload ??c và ghi ??ng th?i b?ng `fio`.
4. B?t ??u workload và duy trì 2 gi?.
5. M?i 10 phút ghi read speed, write speed, I/O error và nhi?t ??.
6. Ki?m tra robot v?n ph?n h?i l?nh qu?n lý.
7. D?ng workload.
8. Ki?m tra file d? li?u và system log.",Storage v?n ??c/ghi ?n ??nh; h? th?ng không b? treo; d? li?u không b? h?ng.,Không I/O error Critical; file test ??c l?i ???c; read/write performance ??t requirement; không freeze/reboot ngoài d? ki?n.,2 h,,,,,,Major
ST-STO-003,Storage I/O Stress,High-frequency Logging,Ki?m tra storage và h? th?ng logging khi d? li?u ???c ghi v?i t?n su?t cao.,Robot ho?t ??ng bình th??ng; workload logging ?ã ???c xác ??nh; storage còn ?? dung l??ng cho 2 gi?; logging system ho?t ??ng.,Robot; PC/SSH; SSD/eMMC; ROS 2 logging/rosbag ho?c logger c?a s?n ph?m; monitoring tool.,"1. Ki?m tra dung l??ng tr?ng tr??c test.
2. Xác ??nh các log/topic c?n ghi và t?n su?t ghi.
3. B?t high-frequency logging theo c?u hình test.
4. Duy trì 2 gi?.
5. M?i 10 phút ghi dung l??ng storage, t?c ?? ghi và l?i log.
6. Ki?m tra log có ti?p t?c ???c t?o ??u ??n không.
7. K?t thúc logging ?úng cách.
8. M? m?t s? file log ?? ki?m tra có th? ??c ???c.",Log ???c ghi liên t?c; không m?t log b?t th??ng; h? th?ng v?n ho?t ??ng.,Không m?t d? li?u v??t requirement; file log ??c ???c; không I/O error Critical; không freeze/reboot.,2 h,,,,,,Major
ST-STO-004,Storage I/O Stress,ROS Bag Recording,Ki?m tra kh? n?ng ghi d? li?u ROS 2/rosbag liên t?c trong th?i gian dài.,Robot ho?t ??ng bình th??ng; camera/sensor c?n ghi ?ang ho?t ??ng; storage ?? dung l??ng cho 4 gi?; logging b?t.,Robot; PC/SSH; SSD/eMMC; rosbag/ros2 bag; camera/sensor; monitoring tool.,"1. Ki?m tra các sensor/topic c?n ghi.
2. Ki?m tra dung l??ng tr?ng và t?c ?? ghi storage.
3. B?t ??u ghi ROS bag.
4. Duy trì ghi liên t?c 4 gi?.
5. M?i 15 phút ki?m tra dung l??ng còn l?i, t?c ?? ghi và tr?ng thái rosbag.
6. Ghi nh?n dropped message ho?c warning n?u có.
7. K?t thúc rosbag ?úng cách.
8. M?/??c metadata và ki?m tra d? li?u trong bag.",ROS bag ???c ghi ?? th?i gian; d? li?u có th? m?/??c l?i; robot không b? treo.,Không Critical I/O error; ROS bag không b? corruption; d? li?u/topic quan tr?ng có th? ??c l?i; hi?u n?ng ??t requirement.,4 h,,,,,,Major
ST-STO-005,Storage I/O Stress,Storage Full Handling,Ki?m tra h? th?ng ph?n ?ng an toàn khi dung l??ng storage g?n ??y.,Robot ho?t ??ng bình th??ng; ?ã sao l?u d? li?u c?n thi?t; test ???c th?c hi?n trên phân vùng/test directory an toàn; có k? ho?ch d?ng tr??c khi h?t dung l??ng.,Robot; PC/SSH; SSD/eMMC; fio/dd; disk usage tool; log viewer.,"1. Ki?m tra và ghi dung l??ng tr?ng ban ??u.
2. Ch? s? d?ng test directory ho?c phân vùng ???c phê duy?t.
3. T?o d? li?u test ?? dung l??ng tr?ng gi?m d?n ??n ng??ng g?n ??y theo k? ho?ch.
4. Theo dõi disk usage và system log.
5. Ki?m tra ?ng d?ng logging x? lý tình tr?ng thi?u dung l??ng nh? th? nào.
6. Không ?? phân vùng h? th?ng b? ??y ??n m?c gây m?t kh? n?ng kh?i ??ng.
7. Sau khi ghi nh?n hành vi, d?ng test và xóa d? li?u test.
8. Ki?m tra robot tr? l?i tr?ng thái bình th??ng.",H? th?ng phát hi?n dung l??ng th?p và x? lý theo thi?t k?; không làm h?ng filesystem ho?c khi?n robot m?t kh? n?ng ho?t ??ng.,Không m?t d? li?u h? th?ng nghiêm tr?ng; không filesystem corruption; không reboot b?t th??ng; c?nh báo/handling ?úng requirement.,1 h,,,,,,Major
ST-STO-006,Storage I/O Stress,File Integrity After Stress,Ki?m tra file có còn nguyên v?n sau khi storage ch?u I/O stress.,?ã hoàn thành m?t bài I/O stress tr??c ?ó; file test ?ã ???c t?o; robot và storage ho?t ??ng bình th??ng.,Robot; PC/SSH; SSD/eMMC; checksum tool; smartctl; fio/dd; log viewer.,"1. Ch?n các file test ?ã t?o trong bài stress.
2. T?o checksum/hash cho file tr??c ho?c dùng file có checksum chu?n.
3. ??c l?i toàn b? ho?c m?u file sau stress.
4. T?o checksum/hash l?n n?a.
5. So sánh checksum tr??c và sau.
6. M? m?t s? file ?? ki?m tra kh? n?ng ??c.
7. Ki?m tra system log và filesystem error.
8. Ghi k?t qu? vào test record.",File ??c ???c và checksum không thay ??i ??i v?i d? li?u ph?i ???c b?o toàn.,Không phát hi?n file corruption; checksum kh?p ??i v?i file c?n b?o toàn; không Critical filesystem/I/O error.,4 h,,,,,,Major
ST-STO-007,Storage I/O Stress,Storage Temperature Stress,?ánh giá nhi?t ?? SSD/eMMC khi storage ho?t ??ng v?i I/O cao.,Robot ho?t ??ng bình th??ng; gi?i h?n nhi?t ?? storage ?ã ???c xác ??nh t? datasheet/requirement; logging b?t.,Robot; PC/SSH; fio; smartctl; thermal camera ho?c telemetry nhi?t ??.,"1. Ghi nhi?t ?? storage ? tr?ng thái idle.
2. Ch?y workload ??c/ghi cao.
3. Duy trì 2 gi?.
4. Ghi nhi?t ?? m?i 5 phút.
5. ??ng th?i ghi read/write speed và I/O error.
6. Xác ??nh nhi?t ?? cao nh?t và th?i ?i?m ??t nhi?t ?? ?n ??nh.
7. D?ng workload.
8. Ki?m tra nhi?t ?? gi?m và ki?m tra log.",Nhi?t ?? t?ng theo t?i nh?ng n?m trong gi?i h?n; performance không suy gi?m b?t th??ng do nhi?t.,Peak temperature ? gi?i h?n thi?t k?; không thermal shutdown; không Critical I/O error; performance ??t requirement.,2 h,,,,,,Major
ST-STO-008,Storage I/O Stress,Boot After Heavy I/O,Ki?m tra robot có kh?i ??ng bình th??ng sau khi storage v?a tr?i qua I/O stress.,Robot ?ã hoàn thành m?t bài I/O stress; d? li?u quan tr?ng ?ã ???c ?óng/flush ?úng cách; có th? power cycle an toàn.,Robot; PC/SSH; SSD/eMMC; smartctl; log viewer; màn hình/console.,"1. K?t thúc bài I/O stress ?úng cách.
2. Ch? storage hoàn t?t ghi d? li?u.
3. T?t robot theo quy trình chu?n.
4. Ch? robot t?t hoàn toàn.
5. B?t robot l?i.
6. Ghi th?i gian boot và ki?m tra các service quan tr?ng.
7. Ki?m tra storage mount, filesystem và d? li?u test.
8. Ki?m tra system log sau khi boot.",Robot boot bình th??ng; storage ???c nh?n di?n và mount; các service quan tr?ng kh?i ??ng.,Không boot failure; không filesystem corruption; không storage detection error; các service quan tr?ng ? tr?ng thái bình th??ng.,30 min,,,,,,Major
